,libtool-version,c-blosc-version,python-version,autoconf-version,zfp-version,libfabric-version,adios-version,automake-version,sz-version,mpich-version
4rtk5lpjhknxsbf5zcusm6ninnv3e4uq,1.0,0.0,11.0,2.0,4.0,2.0,2.0,3.0,0.0,1.0
5ntzgt7qxiv5wqzyswayjxnxydszvdsx,0.0,3.0,17.0,2.0,4.0,2.0,4.0,4.0,4.0,11.0
dykupv7mydldpnfnc72xffmixmj6rb7i,0.0,1.0,1.0,2.0,3.0,0.0,6.0,1.0,3.0,5.0
eyukj5grxtqncu5q74yvyfdaoisfm34f,0.0,3.0,3.0,2.0,3.0,2.0,3.0,0.0,2.0,2.0
gico2dgi5j63zswyhtdvj5uhli5zjplo,0.0,0.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,11.0
h2djnzu7fy7e5p2uwb5m4k5cp6yl3cgf,0.0,3.0,16.0,2.0,3.0,2.0,3.0,1.0,2.0,0.0
ks4sik6tidt5awvw2roxegi4ojejai7u,0.0,0.0,20.0,2.0,0.0,2.0,3.0,4.0,1.0,1.0
oxdno4byjgzmz4k5tj4uy7nuedp6xv2e,0.0,3.0,15.0,2.0,0.0,2.0,3.0,3.0,1.0,3.0
pb5u77ifmncqpmuxck65qjrv3hxxx476,1.0,0.0,0.0,2.0,4.0,0.0,6.0,1.0,4.0,9.0
uj3ghgut2a5mcz35jti5pcugonocaa4i,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,5.0,7.0
zzgsbq47vnlrcm7nbtkbf7u5kjkzcm7y,0.0,3.0,13.0,2.0,4.0,0.0,2.0,3.0,5.0,10.0
5yn4pztowghdb5wy566vcfogz4gcze6z,0.0,2.0,7.0,1.0,4.0,2.0,4.0,2.0,4.0,1.0
76jno27x4fgs4tzqopt3you3bsvjd7vx,1.0,0.0,12.0,0.0,0.0,0.0,6.0,4.0,3.0,7.0
7rzmjmd2lhkr2nylw3qfepflgiew4mhu,0.0,3.0,9.0,1.0,4.0,2.0,0.0,4.0,5.0,2.0
b3atddn4lqvyqsdlgz2di6g4h3xsc42h,0.0,1.0,10.0,1.0,4.0,0.0,3.0,1.0,2.0,10.0
fssaamkavvww6au2mey5o2iiooohzjnz,1.0,2.0,19.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0
h6m5m2zzeyulbkwqjwakk7j4jy4jxprc,0.0,0.0,14.0,0.0,4.0,0.0,5.0,3.0,0.0,5.0
inpi6zoh3zj4hybikiho2jfwixxh3mbf,0.0,3.0,5.0,1.0,3.0,0.0,4.0,4.0,4.0,9.0
nfcqztkkut6isgkxpgcfpvzipot6b5ah,1.0,2.0,4.0,0.0,4.0,1.0,3.0,4.0,2.0,4.0
u53wwp4m7seig5deb7poenvm6lkgpzpv,1.0,1.0,8.0,2.0,1.0,0.0,1.0,2.0,0.0,8.0
y26z22bgi7uqxdog6gm63ym53jc2yrvd,1.0,2.0,2.0,0.0,4.0,0.0,3.0,4.0,1.0,5.0
zqc7qhn5oo6mdtcyzhznb35yojlihkal,0.0,0.0,18.0,1.0,4.0,0.0,3.0,3.0,2.0,6.0
