,qt-version,qwt-version
5e6f5q3cn6vcmopfsjcjbftvkm5jcrpo,2.0,3.0
7gb4k5lu364imsdpbov5cwg354yxgttg,5.0,2.0
bvzues43jjhtf7umrie4utstihrw5vgt,5.0,1.0
d6kyp57k64t63342g2revcqcfofgvusn,6.0,3.0
eue3j22q4bfdiogmjcl53vv5s5cwa4au,3.0,1.0
gbiqirxogszii2m5pszadhyen7vouccx,4.0,1.0
gp7xshprclrao4joytxjpbqarxsro76p,1.0,1.0
h6sfwu4oucet6yi7s7vdaeuocglbsodn,3.0,2.0
h77l7vxi3bcvhjlk5dmaf67bto4gfuad,1.0,3.0
hfvyzl5nlfgde3ygjb6uakcafe6twebc,4.0,3.0
j2nsnm5bxpnwtdfcodrkxei5ro3eu42j,0.0,1.0
naokxenwcj2yihz4wv7nkhzcme5ivp4v,2.0,1.0
piql7yxrvcg4gsj4yneyqp743xi7n7jh,0.0,3.0
quoa6snoa4ntxfpveq2q6diymorzkahz,2.0,2.0
sc6ujqgnkjdcdstfei42sefejxzpacmu,6.0,1.0
var6lcjq7hmpvlarvjkswt3xfdlflxtv,6.0,2.0
wjy7pegjx5otqfd6pj43rcetagdpypnn,4.0,2.0
x4oucntt5cypb6sjwdig7akna6a34gc2,0.0,2.0
x5e6t5yp7b3qdpjjnlry7zhnzrg2mfsh,5.0,3.0
yhwyxc5bcgwazh7edofgb6se23o2c4h4,1.0,2.0
z42koj3ilfq32bhyqpkbbcixpolwelic,3.0,3.0
rpxzmbdqpe5c6xqdb56vfargk6qtaefz,0.0,0.0
yd7m2i3vrhswc7hmbksiwubri7az4scs,2.0,0.0
ze2a2oaqwrkvc6hbbortgpsrgtq37nsh,1.0,0.0
