,scr-version,shuffile-version,redset-version,kvtree-version,axl-version,er-version,libyogrt-version,spath-version,dtcmp-version,rankstr-version
3sisiyk4wlam3axdlgxrdgrlvyi6qwov,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0
56vrjpvvef6ap5xsxcbcd26wuvgzjmoq,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
5hadxbe6pobgmklkmpgv7gvicenmurhs,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
bnopbrbzv4b5fpqznjytt3zsxbk26omx,4.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0
hflszdm7rww7pyfdqyrcnmyzg2r4pikf,4.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,4.0,1.0
izkf67df6db4qc3wvvo3hysl5mxsugqs,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0
ln4himc6lg5nl6tvpnazejjhil6vo5gh,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0
lqn6ywncdysmozyuegytvyveolmlfevj,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
lz6ed5c5or6s4zp5d726i4cg6azrftd3,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0
mt6m2d6vveryhbmyhbclhprxyqedvke3,5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0
qo53nvb2sv5hkdvbywz3ldbfdotp2vzb,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
sqo4ont3cg3rugk6t34zaoeq5gbrdv2h,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
sxh22ovirwb44tiub73dllvlnap7mtr2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ubs5konwymt6kteiagref5vjjhfvmhw5,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
ukitdmphack62rwppu3dk5p6acsxjqys,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0
ve5lv42esesiei2e3cgyqwdmz64dykhn,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
vtt372dahlc5ak7jsfzn47qt5iukmdwq,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
wf3lcpud7ljnzemmm5gl7u5qeftb4jgb,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0
x3wprpkbfg6nrw7qxwgf33khp2bt6ct3,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
x7jbkbhojj5vmyllw2kjvlyjc5mp57tx,4.0,1.0,1.0,1.0,1.0,3.0,7.0,3.0,3.0,1.0
pm7qkyytox3cnvlq3iywzlvwvkagxstl,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
vgpj5ccirnaau6gce4bm2epwrppxrmjh,0.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0
vmobhjceswhqbaiko52lldynhyypq6te,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
